x0,x1
0.409689,0.164939
0.410387,0.165518
0.411083,0.166098
0.411781,0.166674
0.412489,0.16725
0.413186,0.167826
0.413879,0.168401
0.414571,0.16898
0.415262,0.16956
0.415947,0.17014
0.416635,0.1707
0.417316,0.17128
0.418011,0.171856
0.418695,0.172436
0.419378,0.173008
0.420057,0.173588
0.420733,0.174158
0.421409,0.174726
0.422083,0.175302
0.422757,0.175872
0.423428,0.176448
0.4241,0.177016
0.424768,0.177586
0.425434,0.178155
0.426103,0.178731
0.426768,0.179297
0.427426,0.179865
0.428089,0.180433
0.428758,0.180998
0.429415,0.181578
0.430072,0.182143
0.430722,0.182703
0.431374,0.183271
0.432032,0.183831
0.43268,0.184391
0.43333,0.184955
0.433974,0.185515
0.434616,0.186088
0.43526,0.186648
0.435899,0.187209
0.43654,0.187769
0.437181,0.188329
0.437819,0.188889
0.438447,0.189449
0.43908,0.190001
0.439716,0.190564
0.440344,0.191124
0.440977,0.191681
0.4416,0.192236
0.442235,0.192789
0.44285,0.193344
0.443474,0.193884
0.44409,0.194435
0.444707,0.194995
0.445313,0.195555
0.445931,0.196099
0.446547,0.196649
0.447159,0.197209
0.44779,0.197754
0.448414,0.198314
0.449017,0.198854
0.449639,0.199414
0.45024,0.199969
0.450839,0.200509
0.451448,0.201049
0.452065,0.201609
0.452661,0.202149
0.453266,0.202689
0.453857,0.203249
0.45445,0.203793
0.455041,0.204333
0.455637,0.204877
0.456229,0.205421
0.456819,0.205965
0.457402,0.206497
0.457997,0.207037
0.458581,0.207577
0.459164,0.208117
0.459732,0.208662
0.460305,0.209202
0.460875,0.209742
0.461473,0.210278
0.462049,0.210816
0.462633,0.21135
0.463208,0.21189
0.463788,0.212417
0.464361,0.212957
0.464932,0.213497
0.465502,0.214037
0.466071,0.214567
0.466639,0.215107
0.467226,0.215637
0.467801,0.216177
0.468366,0.216697
0.468929,0.217237
0.469491,0.217767
0.470072,0.218302
0.470632,0.218842
0.471201,0.219382
0.471778,0.219902
0.472335,0.220442
0.47289,0.220982
0.473444,0.221502
0.473997,0.222022
0.474549,0.222542
0.47508,0.223062
0.47563,0.223582
0.476169,0.224122
0.476721,0.224642
0.477268,0.225182
0.477808,0.225702
0.478358,0.226222
0.478901,0.226742
0.479443,0.227262
0.479984,0.227782
0.480524,0.228302
0.481063,0.228822
0.481616,0.229342
0.482163,0.229862
0.482699,0.230382
0.483233,0.230907
0.483772,0.231427
0.484304,0.231947
0.48484,0.232467
0.485371,0.232987
0.48588,0.233507
0.486408,0.234022
0.486935,0.234522
0.487461,0.235042
0.487987,0.235562
0.488511,0.236072
0.489014,0.236592
0.489536,0.237102
0.490057,0.237622
0.490576,0.238122
0.491115,0.238642
0.491628,0.239155
0.492145,0.239655
0.49264,0.240175
0.493155,0.240675
0.493669,0.241195
0.494181,0.241695
0.494693,0.242195
0.495188,0.242695
0.495698,0.243215
0.496207,0.243715
0.496714,0.244215
0.497236,0.244715
0.497741,0.245215
0.498246,0.24572
0.498744,0.24622
0.499257,0.24672
0.499758,0.24722
0.500264,0.24772
0.500763,0.24822
0.501262,0.24873
0.501739,0.24923
0.502236,0.24973
0.502716,0.25023
0.503211,0.25073
0.503705,0.25123
0.504197,0.25173
0.504684,0.25223
0.505191,0.25271
0.505681,0.25321
0.506149,0.25371
0.506637,0.25419
0.507124,0.25469
0.50761,0.25519
0.508085,0.25569
0.508558,0.256177
0.509041,0.256677
0.509533,0.257167
0.510014,0.257647
0.510494,0.258147
0.510973,0.258642
0.511446,0.259132
0.511923,0.259632
0.512404,0.260112
0.512879,0.260592
0.513364,0.261072
0.513837,0.261572
0.514314,0.262072
0.514781,0.262552
0.515256,0.263032
0.515721,0.263512
0.516199,0.263992
0.516667,0.264492
0.517143,0.264992
0.517609,0.265472
0.518054,0.265952
0.518518,0.266452
0.51898,0.266932
0.519442,0.267412
0.519903,0.267892
0.520364,0.268372
0.520823,0.268852
0.521281,0.269332
0.521739,0.269812
0.522195,0.270292
0.522651,0.270772
0.523105,0.271252
0.523544,0.27174
0.523992,0.2722
0.524444,0.27268
0.524915,0.27316
0.525365,0.27364
0.525815,0.2741
0.526258,0.27458
0.526706,0.27506
0.527172,0.275535
0.527603,0.27601
0.528048,0.27647
0.528492,0.27695
0.528935,0.27742
0.529367,0.277895
0.529828,0.278365
0.530269,0.278835
0.530708,0.279315
0.531152,0.279775
0.53159,0.280255
0.532027,0.280735
0.532462,0.281195
0.532897,0.281655
0.533347,0.28212
0.5338,0.2826
0.534227,0.28306
0.534659,0.28353
0.53511,0.28401
0.535549,0.28447
0.535978,0.284945
0.536406,0.285405
0.536834,0.285865
0.53726,0.286325
0.537685,0.286805
0.53813,0.287265
0.538556,0.287745
0.538985,0.288205
0.539407,0.288665
0.539848,0.289127
0.540268,0.289587
0.540687,0.290047
0.541106,0.290507
0.541528,0.290967
0.541935,0.291427
0.542361,0.291877
0.542776,0.292337
0.543215,0.292797
0.543648,0.293237
0.544047,0.293701
0.544459,0.294159
0.544882,0.294614
0.545292,0.295074
0.545703,0.295524
0.546111,0.295984
0.546524,0.296434
0.546931,0.296889
0.547357,0.297329
0.547762,0.297791
0.548167,0.298251
0.548585,0.298691
0.548988,0.299131
0.549395,0.299581
0.549797,0.300036
0.550214,0.300476
0.550617,0.300931
0.551019,0.301381
0.551425,0.301821
0.551828,0.302261
0.55222,0.302721
0.552616,0.303161
0.553031,0.303606
0.553425,0.304046
0.553818,0.304486
0.554217,0.304932
0.554619,0.305377
0.555014,0.305822
0.555404,0.306262
0.555801,0.306702
0.556192,0.30716
0.556591,0.307599
0.556995,0.308039
0.557385,0.308479
0.557778,0.308919
0.558182,0.309359
0.55857,0.309799
0.558955,0.310239
0.559347,0.310679
0.559742,0.311117
0.560133,0.311553
0.560516,0.311991
0.560902,0.312426
0.56128,0.312866
0.561688,0.313306
0.562059,0.313746
0.562455,0.314186
0.562825,0.314626
0.5632,0.315046
0.563583,0.315486
0.563971,0.315906
0.564343,0.316326
0.564739,0.316766
0.56513,0.317206
0.5655,0.317626
0.565869,0.318046
0.566252,0.318476
0.566639,0.318916
0.567026,0.319356
0.567397,0.319796
